LOADING_MW_ACTUAL_CAISO,LOADING_MW_ACTUAL_PGE,LOADING_MW_ACTUAL_SCE,LOADING_MW_ACTUAL_SDGE,GAS_PRICE_PGE,GAS_PRICE_SCE,Day_of_week,Month,DA_LMP_PGE_NP15
21599,10206,9184,1997,4.32,6.72,0,1,32.76
20879,9866,8876,1921,4.32,6.72,0,1,30.9
20351,9605,8667,1861,4.32,6.72,0,1,32.16
20064,9453,8563,1833,4.32,6.72,0,1,31.24
20016,9389,8562,1847,4.32,6.72,0,1,30.98
20342,9460,8749,1910,4.32,6.72,0,1,33.18
20734,9633,8900,1972,4.32,6.72,0,1,33.88
20725,9818,8757,1919,4.32,6.72,0,1,32.7
20446,9903,8532,1786,4.32,6.72,0,1,29.3
19853,9693,8261,1689,4.32,6.72,0,1,23.5
19277,9484,7986,1603,4.32,6.72,0,1,20.8
18946,9349,7845,1552,4.32,6.72,0,1,19.34
18821,9308,7758,1561,4.32,6.72,0,1,16.51
19158,9498,7900,1575,4.32,6.72,0,1,14.08
20181,9997,8254,1745,4.32,6.72,0,1,17.55
21302,10423,8703,1987,4.32,6.72,0,1,25.55
22778,10783,9521,2277,4.32,6.72,0,1,34.48
24688,11446,10524,2515,4.32,6.72,0,1,38.19
24972,11520,10722,2525,4.32,6.72,0,1,37.89
24748,11444,10633,2465,4.32,6.72,0,1,37.32
24206,11256,10365,2378,4.32,6.72,0,1,37.37
23246,10773,10020,2251,4.32,6.72,0,1,35.05
21926,10166,9492,2077,4.32,6.72,0,1,31.62
20721,9628,8967,1923,4.32,6.72,0,1,30.31
19951,9345,8553,1849,4.32,6.72,0,1,29.34
19424,9063,8344,1812,4.32,6.72,0,1,30.03
19117,8908,8201,1801,4.32,6.72,0,1,27.67
19234,8969,8285,1772,4.32,6.72,0,1,29.55
19993,9245,8689,1849,4.32,6.72,0,1,29.55
21295,9690,9372,2019,4.32,6.72,0,1,35.13
23122,10563,10142,2206,4.32,6.72,0,1,41.14
24141,11147,10561,2236,4.32,6.72,0,1,41.65
24369,11298,10729,2153,4.32,6.72,0,1,39.4
23644,11035,10444,1984,4.32,6.72,0,1,32.81
22753,10566,10134,1877,4.32,6.72,0,1,31.51
22630,10634,9984,1842,4.32,6.72,0,1,28.57
22578,10551,10017,1848,4.32,6.72,0,1,28.15
22717,10448,10179,1929,4.32,6.72,0,1,28.48
23255,10428,10468,2202,4.32,6.72,0,1,30.97
23685,10639,10609,2279,4.32,6.72,0,1,35.46
26749,12093,11838,2647,4.32,6.72,0,1,42.26
27355,12374,12104,2702,4.32,6.72,0,1,64.29
27473,12451,12154,2690,4.32,6.72,0,1,46.84
26985,12190,12004,2614,4.32,6.72,0,1,43.7
26192,11810,11684,2519,4.32,6.72,0,1,40.69
25044,11246,11247,2375,4.32,6.72,0,1,39.56
23480,10524,10599,2186,4.32,6.72,0,1,36.12
21952,9870,9896,2011,4.32,6.72,0,1,33.83
20827,9356,9383,1915,4.12,6.14,0,1,30.04
20065,8999,9057,1841,4.12,6.14,0,1,29.56
19736,8880,8890,1798,4.12,6.14,0,1,29.03
19815,8936,8915,1796,4.12,6.14,0,1,29.25
20547,9290,9228,1870,4.12,6.14,0,1,29.84
22035,9973,9873,2031,4.12,6.14,0,1,31.71
23793,10842,10577,2208,4.12,6.14,0,1,39.31
24531,11357,10789,2219,4.12,6.14,0,1,37.61
24215,11258,10698,2116,4.12,6.14,0,1,30.94
23385,10829,10446,1983,4.12,6.14,0,1,30.14
22689,10415,10286,1869,4.12,6.14,0,1,28.92
22336,10246,10166,1828,4.12,6.14,0,1,24.29
22090,10046,10079,1876,4.12,6.14,0,1,22.43
22220,10111,10066,1951,4.12,6.14,0,1,22.44
22613,10283,10194,2038,4.12,6.14,0,1,26.97
23518,10650,10561,2212,4.12,6.14,0,1,30.44
25206,11497,11201,2408,4.12,6.14,0,1,38.51
26961,12350,11886,2617,4.12,6.14,0,1,49.08
26975,12357,11902,2605,4.12,6.14,0,1,41.11
26460,12092,11719,2535,4.12,6.14,0,1,37.79
25797,11753,11469,2457,4.12,6.14,0,1,36.6
24850,11280,11118,2333,4.12,6.14,0,1,34.91
23441,10610,10538,2171,4.12,6.14,0,1,32.36
22026,9956,9927,2024,4.12,6.14,0,1,30.49
20950,9491,9411,1930,4.17,6.18,1,1,32.84
20145,9119,9059,1852,4.17,6.18,1,1,31.25
19673,8908,8848,1799,4.17,6.18,1,1,31.22
19538,8839,8793,1785,4.17,6.18,1,1,31.28
19825,8953,8930,1815,4.17,6.18,1,1,31.36
20515,9261,9224,1897,4.17,6.18,1,1,32.93
21407,9730,9539,2001,4.17,6.18,1,1,37.03
