Date,Hour,Target
01/01/2020 ,1,32.76
01/01/2020 ,2,30.9
01/01/2020 ,3,32.16
01/01/2020 ,4,31.24
01/01/2020 ,5,30.98
01/01/2020 ,6,33.18
01/01/2020 ,7,33.88
01/01/2020 ,8,32.7
01/01/2020 ,9,29.3
01/01/2020 ,10,23.5
01/01/2020 ,11,20.8
01/01/2020 ,12,19.34
01/01/2020 ,13,16.51
01/01/2020 ,14,14.08
01/01/2020 ,15,17.55
01/01/2020 ,16,25.55
01/01/2020 ,17,34.48
01/01/2020 ,18,38.19
01/01/2020 ,19,37.89
01/01/2020 ,20,37.32
01/01/2020 ,21,37.37
01/01/2020 ,22,35.05
01/01/2020 ,23,31.62
01/01/2020 ,24,30.31
01/02/2020 ,1,29.34
01/02/2020 ,2,30.03
01/02/2020 ,3,27.67
01/02/2020 ,4,29.55
01/02/2020 ,5,29.55
01/02/2020 ,6,35.13
01/02/2020 ,7,41.14
01/02/2020 ,8,41.65
01/02/2020 ,9,39.4
01/02/2020 ,10,32.81
01/02/2020 ,11,31.51
01/02/2020 ,12,28.57
01/02/2020 ,13,28.15
01/02/2020 ,14,28.48
01/02/2020 ,15,30.97
01/02/2020 ,16,35.46
01/02/2020 ,17,42.26
01/02/2020 ,18,64.29
01/02/2020 ,19,46.84
01/02/2020 ,20,43.7
01/02/2020 ,21,40.69
01/02/2020 ,22,39.56
01/02/2020 ,23,36.12
01/02/2020 ,24,33.83
01/03/2020 ,1,30.04
01/03/2020 ,2,29.56
01/03/2020 ,3,29.03
01/03/2020 ,4,29.25
01/03/2020 ,5,29.84
01/03/2020 ,6,31.71
01/03/2020 ,7,39.31
01/03/2020 ,8,37.61
01/03/2020 ,9,30.94
01/03/2020 ,10,30.14
01/03/2020 ,11,28.92
01/03/2020 ,12,24.29
01/03/2020 ,13,22.43
01/03/2020 ,14,22.44
01/03/2020 ,15,26.97
01/03/2020 ,16,30.44
01/03/2020 ,17,38.51
01/03/2020 ,18,49.08
01/03/2020 ,19,41.11
01/03/2020 ,20,37.79
01/03/2020 ,21,36.6
01/03/2020 ,22,34.91
01/03/2020 ,23,32.36
01/03/2020 ,24,30.49
01/04/2020 ,1,32.84
01/04/2020 ,2,31.25
01/04/2020 ,3,31.22
01/04/2020 ,4,31.28
01/04/2020 ,5,31.36
01/04/2020 ,6,32.93
01/04/2020 ,7,37.03
01/04/2020 ,8,33.2
01/04/2020 ,9,30.2
01/04/2020 ,10,25.12
01/04/2020 ,11,21.1
01/04/2020 ,12,17.73
01/04/2020 ,13,17.32
01/04/2020 ,14,16.6
01/04/2020 ,15,21.73
01/04/2020 ,16,30.16
01/04/2020 ,17,36.49
01/04/2020 ,18,39.2
01/04/2020 ,19,39.6
01/04/2020 ,20,38.99
01/04/2020 ,21,37.61
01/04/2020 ,22,37.27
01/04/2020 ,23,33.88
01/04/2020 ,24,33.01
01/05/2020 ,1,33.88
01/05/2020 ,2,31.45
01/05/2020 ,3,31.39
01/05/2020 ,4,30.35
01/05/2020 ,5,30.45
01/05/2020 ,6,31.22
01/05/2020 ,7,34.16
01/05/2020 ,8,32.46
01/05/2020 ,9,30.31
01/05/2020 ,10,24.18
01/05/2020 ,11,17.76
01/05/2020 ,12,16.66
01/05/2020 ,13,16.17
01/05/2020 ,14,15
01/05/2020 ,15,17.32
01/05/2020 ,16,27.5
01/05/2020 ,17,34.76
01/05/2020 ,18,37.55
01/05/2020 ,19,37.45
01/05/2020 ,20,37.45
01/05/2020 ,21,36.44
01/05/2020 ,22,36.19
01/05/2020 ,23,34.05
01/05/2020 ,24,29.84
01/06/2020 ,1,30.34
01/06/2020 ,2,29.06
01/06/2020 ,3,27.72
01/06/2020 ,4,28
01/06/2020 ,5,29.82
01/06/2020 ,6,35.66
01/06/2020 ,7,46.46
01/06/2020 ,8,43.6
01/06/2020 ,9,40.19
01/06/2020 ,10,29.11
01/06/2020 ,11,27.65
01/06/2020 ,12,27.41
01/06/2020 ,13,23.2
01/06/2020 ,14,22.52
01/06/2020 ,15,25.65
01/06/2020 ,16,35.57
01/06/2020 ,17,47.89
01/06/2020 ,18,69.23
01/06/2020 ,19,49.46
01/06/2020 ,20,49.06
01/06/2020 ,21,44.99
01/06/2020 ,22,40
01/06/2020 ,23,36.92
01/06/2020 ,24,34.19
01/07/2020 ,1,30.69
01/07/2020 ,2,29.49
01/07/2020 ,3,28.93
01/07/2020 ,4,29.19
01/07/2020 ,5,30.93
01/07/2020 ,6,35.49
01/07/2020 ,7,40.65
01/07/2020 ,8,40.86
01/07/2020 ,9,35.33
01/07/2020 ,10,30.03
01/07/2020 ,11,26.19
01/07/2020 ,12,26.19
01/07/2020 ,13,24.85
01/07/2020 ,14,25.68
01/07/2020 ,15,27.68
01/07/2020 ,16,32.86
01/07/2020 ,17,36.15
01/07/2020 ,18,41.28
01/07/2020 ,19,42.56
01/07/2020 ,20,39.85
01/07/2020 ,21,38.18
01/07/2020 ,22,35.84
01/07/2020 ,23,33.43
01/07/2020 ,24,30.89
01/08/2020 ,1,30.07
01/08/2020 ,2,28.84
01/08/2020 ,3,28.22
01/08/2020 ,4,28.39
01/08/2020 ,5,30.3
01/08/2020 ,6,35.19
01/08/2020 ,7,38.53
01/08/2020 ,8,38.69
01/08/2020 ,9,34.71
01/08/2020 ,10,32.89
01/08/2020 ,11,26.46
01/08/2020 ,12,26.23
01/08/2020 ,13,23.73
01/08/2020 ,14,24.93
01/08/2020 ,15,27.76
01/08/2020 ,16,32.8
01/08/2020 ,17,37.34
01/08/2020 ,18,40.73
01/08/2020 ,19,42.47
01/08/2020 ,20,40.45
01/08/2020 ,21,38.1
01/08/2020 ,22,36.75
01/08/2020 ,23,34.14
01/08/2020 ,24,30.77
01/09/2020 ,1,31.05
01/09/2020 ,2,30.05
01/09/2020 ,3,29.49
01/09/2020 ,4,29.77
01/09/2020 ,5,31.86
01/09/2020 ,6,36.47
01/09/2020 ,7,42.12
01/09/2020 ,8,41.58
01/09/2020 ,9,37.67
01/09/2020 ,10,35.23
01/09/2020 ,11,29.55
01/09/2020 ,12,26.63
01/09/2020 ,13,25.05
01/09/2020 ,14,23.55
01/09/2020 ,15,27.03
01/09/2020 ,16,32.69
01/09/2020 ,17,38.5
01/09/2020 ,18,43.71
01/09/2020 ,19,42.48
01/09/2020 ,20,42.6
01/09/2020 ,21,42.19
01/09/2020 ,22,39.38
01/09/2020 ,23,36.01
01/09/2020 ,24,33.85
01/10/2020 ,1,32.4
01/10/2020 ,2,30.62
01/10/2020 ,3,30.69
01/10/2020 ,4,31.14
01/10/2020 ,5,35.67
01/10/2020 ,6,38.61
01/10/2020 ,7,51.09
01/10/2020 ,8,47.07
01/10/2020 ,9,37.22
01/10/2020 ,10,34.5
01/10/2020 ,11,31.05
01/10/2020 ,12,30.87
01/10/2020 ,13,28.8
01/10/2020 ,14,26.11
01/10/2020 ,15,26.81
01/10/2020 ,16,34.61
01/10/2020 ,17,38.06
01/10/2020 ,18,48.33
01/10/2020 ,19,49.19
01/10/2020 ,20,41.32
01/10/2020 ,21,40.08
01/10/2020 ,22,38.25
01/10/2020 ,23,37.7
01/10/2020 ,24,35.6
01/11/2020 ,1,34.84
01/11/2020 ,2,31.87
01/11/2020 ,3,30.53
01/11/2020 ,4,30.54
01/11/2020 ,5,31.7
01/11/2020 ,6,35.74
01/11/2020 ,7,37.36
01/11/2020 ,8,37.49
01/11/2020 ,9,34.11
01/11/2020 ,10,25.51
01/11/2020 ,11,19.13
01/11/2020 ,12,17.59
01/11/2020 ,13,13.08
01/11/2020 ,14,11.34
01/11/2020 ,15,18.43
01/11/2020 ,16,28.88
01/11/2020 ,17,35.9
01/11/2020 ,18,36.97
01/11/2020 ,19,40.72
01/11/2020 ,20,39.26
01/11/2020 ,21,38.73
01/11/2020 ,22,37.57
01/11/2020 ,23,36.9
01/11/2020 ,24,34.61
01/12/2020 ,1,33.2
01/12/2020 ,2,33.89
01/12/2020 ,3,34.39
01/12/2020 ,4,34.53
01/12/2020 ,5,34.95
01/12/2020 ,6,35.31
01/12/2020 ,7,36.78
01/12/2020 ,8,35.43
01/12/2020 ,9,30.37
01/12/2020 ,10,28.18
01/12/2020 ,11,25.57
