Date,Hour,F1,F2,F3,F4,F5,F6,Target
01/01/2020 ,1,21599,10206,9184,1997,4,7,33
01/01/2020 ,2,20879,9866,8876,1921,4,7,31
01/01/2020 ,3,20351,9605,8667,1861,4,7,32
01/01/2020 ,4,20064,9453,8563,1833,4,7,31
01/01/2020 ,5,20016,9389,8562,1847,4,7,31
01/01/2020 ,6,20342,9460,8749,1910,4,7,33
01/01/2020 ,7,20734,9633,8900,1972,4,7,34
01/01/2020 ,8,20725,9818,8757,1919,4,7,33
01/01/2020 ,9,20446,9903,8532,1786,4,7,29
01/01/2020 ,10,19853,9693,8261,1689,4,7,24
01/01/2020 ,11,19277,9484,7986,1603,4,7,21
01/01/2020 ,12,18946,9349,7845,1552,4,7,19
01/01/2020 ,13,18821,9308,7758,1561,4,7,17
01/01/2020 ,14,19158,9498,7900,1575,4,7,14
01/01/2020 ,15,20181,9997,8254,1745,4,7,18
01/01/2020 ,16,21302,10423,8703,1987,4,7,26
01/01/2020 ,17,22778,10783,9521,2277,4,7,34
01/01/2020 ,18,24688,11446,10524,2515,4,7,38
01/01/2020 ,19,24972,11520,10722,2525,4,7,38
01/01/2020 ,20,24748,11444,10633,2465,4,7,37
01/01/2020 ,21,24206,11256,10365,2378,4,7,37
01/01/2020 ,22,23246,10773,10020,2251,4,7,35
01/01/2020 ,23,21926,10166,9492,2077,4,7,32
01/01/2020 ,24,20721,9628,8967,1923,4,7,30
01/02/2020 ,1,19951,9345,8553,1849,4,7,29
01/02/2020 ,2,19424,9063,8344,1812,4,7,30
01/02/2020 ,3,19117,8908,8201,1801,4,7,28
01/02/2020 ,4,19234,8969,8285,1772,4,7,30
01/02/2020 ,5,19993,9245,8689,1849,4,7,30
01/02/2020 ,6,21295,9690,9372,2019,4,7,35
01/02/2020 ,7,23122,10563,10142,2206,4,7,41
01/02/2020 ,8,24141,11147,10561,2236,4,7,42
01/02/2020 ,9,24369,11298,10729,2153,4,7,39
01/02/2020 ,10,23644,11035,10444,1984,4,7,33
01/02/2020 ,11,22753,10566,10134,1877,4,7,32
01/02/2020 ,12,22630,10634,9984,1842,4,7,29
01/02/2020 ,13,22578,10551,10017,1848,4,7,28
01/02/2020 ,14,22717,10448,10179,1929,4,7,28
01/02/2020 ,15,23255,10428,10468,2202,4,7,31
01/02/2020 ,16,23685,10639,10609,2279,4,7,35
01/02/2020 ,17,26749,12093,11838,2647,4,7,42
01/02/2020 ,18,27355,12374,12104,2702,4,7,64
01/02/2020 ,19,27473,12451,12154,2690,4,7,47
01/02/2020 ,20,26985,12190,12004,2614,4,7,44
01/02/2020 ,21,26192,11810,11684,2519,4,7,41
01/02/2020 ,22,25044,11246,11247,2375,4,7,40
01/02/2020 ,23,23480,10524,10599,2186,4,7,36
01/02/2020 ,24,21952,9870,9896,2011,4,7,34
01/03/2020 ,1,20827,9356,9383,1915,4,6,30
01/03/2020 ,2,20065,8999,9057,1841,4,6,30
01/03/2020 ,3,19736,8880,8890,1798,4,6,29
01/03/2020 ,4,19815,8936,8915,1796,4,6,29
01/03/2020 ,5,20547,9290,9228,1870,4,6,30
01/03/2020 ,6,22035,9973,9873,2031,4,6,32
01/03/2020 ,7,23793,10842,10577,2208,4,6,39
01/03/2020 ,8,24531,11357,10789,2219,4,6,38
01/03/2020 ,9,24215,11258,10698,2116,4,6,31
01/03/2020 ,10,23385,10829,10446,1983,4,6,30
01/03/2020 ,11,22689,10415,10286,1869,4,6,29
01/03/2020 ,12,22336,10246,10166,1828,4,6,24
01/03/2020 ,13,22090,10046,10079,1876,4,6,22
01/03/2020 ,14,22220,10111,10066,1951,4,6,22
01/03/2020 ,15,22613,10283,10194,2038,4,6,27
01/03/2020 ,16,23518,10650,10561,2212,4,6,30
01/03/2020 ,17,25206,11497,11201,2408,4,6,39
01/03/2020 ,18,26961,12350,11886,2617,4,6,49
01/03/2020 ,19,26975,12357,11902,2605,4,6,41
01/03/2020 ,20,26460,12092,11719,2535,4,6,38
01/03/2020 ,21,25797,11753,11469,2457,4,6,37
01/03/2020 ,22,24850,11280,11118,2333,4,6,35
01/03/2020 ,23,23441,10610,10538,2171,4,6,32
01/03/2020 ,24,22026,9956,9927,2024,4,6,30
01/04/2020 ,1,20950,9491,9411,1930,4,6,33
01/04/2020 ,2,20145,9119,9059,1852,4,6,31
01/04/2020 ,3,19673,8908,8848,1799,4,6,31
01/04/2020 ,4,19538,8839,8793,1785,4,6,31
01/04/2020 ,5,19825,8953,8930,1815,4,6,31
01/04/2020 ,6,20515,9261,9224,1897,4,6,33
